#allgemeinte Daten
#L=120,3 cm
#Mikroskop: 21 Skalenstriche entsprechen 1 mm
# Dunkelstrom I_0=1,2nA -> wird in der nachstehenden Tabelle noch nicht berücksichtigt

# Messung am Einfachspalt 1 | Messung am Einfachspalt 2  | Messung am Doppelspalt

# b_m1=2/21mm b_h1=0,075mm  | b_m2=3/7mm b_h2=0,4mm  | b_m=1/7mm g_m =11/21mm b_h=0,1mm g_h=0,4 mm

# d [mm]  I_1 [nA]  I_2 [nA] I_DS [nA]

 0  	  18	   16	  19
 1	  22	   13	  20
 2	  24	   30	   8.1
 3	  22	   16	  14
 4	  18	   25	  12
 5	  13	   19	  20
 6	  10	   27	  28
 7	  13	   28	  40
 8	  21	   26	  22
 9	  34	   33	  32
10	  49	   30	  18
11	  60	   64	  23
12	  64	   42	  46
13	  59	   68	  84
14	  49	   58	  72
15	  41	  110	 120
16	  47	   82	  90
17	  82	  130	  41
18	 150	  130	  71
19	 270	  160	 150
20	 420	  300	 260
21	 590	  230	 650
22	 780	  940	1300
23	 940	  680	 980
24	1100	14000	2100
25	1200	32000	2200
26	1100	13000	1300
27	1000	  710	2100
28	 870	 1200	1200
29	 680	  220	 590
30	 500	  320	 620
31	 330	  160	 180
32	 200	  140	  76
33	 110	  130	  98
34	  58	   78	  85
35	  40	  110	  82
36	  44	   52	 150
37	  54	   72	  69
38	  64	   34	  55
39	  66	   58	  44
40	  58	   29	  22
41	  45	   46	  25
42	  31	   30	  52
43	  21	   25	  34
44	  16	   32	  39
45	  17	   21	  33
46	  22	   27	  12
47	  26	   14	  12
48	  29	   26	  14
49	  29	   12	  12
50	  24	   20	  22
